,,date,real,predict,real,predict,real,predict
16.696615,,,,,,,,
16.52275,,,,,,,,
16.714085,,,,,,,,
16.548573,,,,,,,,
16.495018,,,,,,,,
16.442293,,,,,,,,
16.620909,,,,,,,,
16.531446,,,,,,,,
16.627981,,,,,,,,
16.538464,,,,,,,,
16.55641,,,,,,,,
16.510843,,,,,,,,
16.70928,,,,,,,,
17.150656,,,,,,,,
16.963457,,,,,,,,
17.031738,,,,,,,,
16.791101,,,,,,,,
16.626022,,,,,,,,
16.347971,,,,,,,,
16.22691,,,,,,,,
16.344185,,,,,,,,
16.276314,,,,,,,,
16.22551,,,,,,,,
16.162098,,,,,,,,
16.14823,,,,,,,,
16.30677,,,,,,,,
16.77882,,,,,,,,
16.731262,,,,,,,,
16.760046,,,,,,,,
16.290348,,,,,,,,
16.386246,,,,,,,,
16.716036,,,,,,,,
17.205284,,,,,,,,
16.955734,,,,,,,,
17.280766,,,,,,,,
17.194607,,,,,,,,
17.393028,,,,,,,,
17.313484,,,,,,,,
17.180426,,,,,,,,
17.143536,,,,,,,,
17.20727,,,,,,,,
17.537533,,,,,,,,
17.403444,,,,,,,,
17.306055,,,,,,,,
17.716827,,,,,,,,
17.804733,,,,,,,,
17.867462,,,,,,,,
18.063972,,,,,,,,
18.526442,,,,,,,,
17.832777,,,,,,,,
17.791754,,,,,,,,
17.816898,,,,,,,,
17.25641,,,,,,,,
17.124722,,,,,,,,
17.566874,,,,,,,,
17.210201,,,,,,,,
16.629244,,,,,,,,
17.060255,,,,,,,,
17.366423,,,,,,,,
17.09181,,,,,,,,
17.277134,,,,,,,,
17.537601,,,,,,,,
17.441153,,,,,,,,
17.378176,,,,,,,,
17.17726,,,,,,,,
17.317749,,,,,,,,
17.28796,,,,,,,,
17.554123,,,,,,,,
17.643137,,,,,,,,
17.530508,,,,,,,,
17.645025,,,,,,,,
17.479958,,,,,,,,
17.062706,,,,,,,,
17.128786,,,,,,,,
17.371185,,,,,,,,
17.058844,,,,,,,,
17.121496,,,,,,,,
17.4208,,,,,,,,
17.14658,,,,,,,,
17.140621,,,,,,,,
17.191397,,,,,,,,
17.004759,,,,,,,,
16.966625,,,,,,,,
17.221016,,,,,,,,
17.192516,,,,,,,,
17.0513,,,,,,,,
16.886166,,,,,,,,
16.832024,,,,,,,,
16.96709,,,,,,,,
16.794334,,,,,,,,
16.703695,,,,,,,,
16.758354,,,,,,,,
16.65088,,,,,,,,
16.627934,,,,,,,,
16.59523,,,,,,,,
16.492088,,,,,,,,
16.581087,,,,,,,,
16.787893,,,,,,,,
17.254835,,,,,,,,
17.059855,,,,,,,,
17.251177,,,,,,,,
17.155136,,,,,,,,
17.052694,,,,,,,,
17.486454,,,,,,,,
17.4125,,,,,,,,
17.435358,,,,,,,,
18.024097,,,,,,,,
18.143223,,,,,,,,
18.032112,,,,,,,,
17.964539,,,,,,,,
17.690306,,,,,,,,
17.883965,,,,,,,,
17.448715,,,,,,,,
17.582832,,,,,,,,
17.574915,,,,,,,,
17.687708,,,,,,,,
16.789692,,,,,,,,
16.892527,,,,,,,,
16.836052,,,,,,,,
16.922241,,,,,,,,
17.193546,,,,,,,,
17.085945,,,,,,,,
17.007278,,,,,,,,
16.909315,,,,,,,,
16.537868,,,,,,,,
16.172462,,,,,,,,
16.35321,,,,,,,,
15.908226,,,,,,,,
15.901248,,,,,,,,
15.893966,,,,,,,,
15.859322,,,,,,,,
16.11643,,,,,,,,
16.049044,,,,,,,,
16.213766,,,,,,,,
16.292974,,,,,,,,
16.023851,,,,,,,,
15.707969,,,,,,,,
15.762827,,,,,,,,
15.811605,,,,,,,,
15.852168,,,,,,,,
15.690611,,,,,,,,
15.4183,,,,,,,,
15.544715,,,,,,,,
15.642909,,,,,,,,
15.803534,,,,,,,,
16.146364,,,,,,,,
15.959192,,,,,,,,
16.18195,,,,,,,,
16.185476,,,,,,,,
16.296276,,,,,,,,
16.16411,,,,,,,,
16.183956,,,,,,,,
16.090261,,,,,,,,
16.227701,,,,,,,,
16.280296,,,,,,,,
