1659.5018,,,date,real,predict
348.97537,,,,,
350.8687,,,,,
353.52374,,,,,
356.76807,,,,,
360.12592,,,,,
362.72144,,,,,
363.7429,,,,,
363.19156,,,,,
361.71927,,,,,
360.22574,,,,,
359.24106,,,,,
359.09042,,,,,
359.94693,,,,,
361.64563,,,,,
363.40808,,,,,
364.48715,,,,,
364.9581,,,,,
365.6151,,,,,
366.37653,,,,,
367.19135,,,,,
368.4785,,,,,
370.5103,,,,,
373.6169,,,,,
376.6626,,,,,
378.93988,,,,,
381.07336,,,,,
383.27835,,,,,
385.80804,,,,,
387.92795,,,,,
389.05795,,,,,
389.34064,,,,,
389.23846,,,,,
389.11365,,,,,
388.43427,,,,,
387.21747,,,,,
385.77637,,,,,
384.7584,,,,,
384.46353,,,,,
385.21185,,,,,
387.437,,,,,
390.63803,,,,,
394.26352,,,,,
398.29974,,,,,
402.6705,,,,,
407.62048,,,,,
412.59213,,,,,
416.9885,,,,,
420.32794,,,,,
421.97626,,,,,
422.38052,,,,,
422.0746,,,,,
421.31564,,,,,
420.5941,,,,,
420.9734,,,,,
422.93945,,,,,
426.28577,,,,,
430.6367,,,,,
435.24692,,,,,
439.48553,,,,,
442.0347,,,,,
442.4639,,,,,
441.90945,,,,,
441.20193,,,,,
440.97467,,,,,
441.38358,,,,,
442.25815,,,,,
443.929,,,,,
446.41223,,,,,
448.80157,,,,,
450.09964,,,,,
450.20175,,,,,
448.53513,,,,,
444.94717,,,,,
440.46848,,,,,
436.26172,,,,,
432.83643,,,,,
430.84625,,,,,
431.1324,,,,,
432.8877,,,,,
435.05817,,,,,
436.9375,,,,,
437.88614,,,,,
437.91345,,,,,
437.4677,,,,,
437.6725,,,,,
439.49103,,,,,
443.2994,,,,,
448.15646,,,,,
452.4043,,,,,
454.9967,,,,,
456.63297,,,,,
457.8283,,,,,
458.73947,,,,,
459.62375,,,,,
460.12308,,,,,
459.74475,,,,,
459.10718,,,,,
458.96255,,,,,
459.97202,,,,,
461.93448,,,,,
464.00223,,,,,
466.51047,,,,,
469.3831,,,,,
472.19934,,,,,
474.21667,,,,,
474.79514,,,,,
473.9481,,,,,
472.07275,,,,,
470.35443,,,,,
469.50504,,,,,
469.5904,,,,,
470.3104,,,,,
471.0529,,,,,
471.72882,,,,,
472.10245,,,,,
472.42474,,,,,
472.72916,,,,,
472.7915,,,,,
472.22223,,,,,
470.55945,,,,,
467.51144,,,,,
464.0716,,,,,
461.58347,,,,,
461.17548,,,,,
462.81918,,,,,
465.54282,,,,,
468.97726,,,,,
472.4122,,,,,
475.16306,,,,,
476.9658,,,,,
478.10086,,,,,
479.2873,,,,,
480.96786,,,,,
482.93747,,,,,
485.3816,,,,,
488.73425,,,,,
492.932,,,,,
498.1121,,,,,
504.2241,,,,,
510.52853,,,,,
517.12885,,,,,
523.7055,,,,,
529.0778,,,,,
532.98724,,,,,
536.97644,,,,,
541.24426,,,,,
545.06775,,,,,
547.6644,,,,,
551.36743,,,,,
556.91394,,,,,
566.55615,,,,,
578.09424,,,,,
588.3748,,,,,
595.8942,,,,,
600.5276,,,,,
603.8131,,,,,
607.46295,,,,,
611.22974,,,,,
614.84766,,,,,
618.1601,,,,,
623.2633,,,,,
631.0821,,,,,
639.79083,,,,,
647.84094,,,,,
654.9455,,,,,
659.2875,,,,,
659.71356,,,,,
657.5559,,,,,
651.9166,,,,,
643.1406,,,,,
633.01556,,,,,
623.05176,,,,,
616.5116,,,,,
613.62726,,,,,
613.5316,,,,,
613.9064,,,,,
614.1729,,,,,
614.1649,,,,,
613.4584,,,,,
611.37415,,,,,
609.29346,,,,,
610.3781,,,,,
615.0637,,,,,
622.9559,,,,,
631.7557,,,,,
638.8893,,,,,
643.3164,,,,,
645.71594,,,,,
647.992,,,,,
650.72394,,,,,
654.08856,,,,,
657.81494,,,,,
661.03735,,,,,
663.34393,,,,,
