31.955904,,date,real,predict
21.013823,,,,
20.630066,,,,
20.711584,,,,
20.70875,,,,
20.584663,,,,
20.463007,,,,
20.437433,,,,
21.431604,,,,
22.037374,,,,
22.25006,,,,
22.066221,,,,
21.578959,,,,
21.113714,,,,
21.14846,,,,
21.801237,,,,
22.289345,,,,
21.983376,,,,
21.051632,,,,
20.664158,,,,
20.63376,,,,
20.497929,,,,
20.895355,,,,
21.147394,,,,
21.001692,,,,
20.724281,,,,
20.88496,,,,
20.998497,,,,
21.356493,,,,
21.558382,,,,
21.900534,,,,
21.957216,,,,
21.879873,,,,
21.689013,,,,
21.515602,,,,
21.922968,,,,
22.295017,,,,
22.35067,,,,
22.263643,,,,
21.877445,,,,
21.663757,,,,
21.556435,,,,
21.51056,,,,
21.04591,,,,
20.645117,,,,
20.593605,,,,
20.582138,,,,
20.420097,,,,
20.348412,,,,
20.251324,,,,
19.322002,,,,
18.330307,,,,
17.883505,,,,
17.970602,,,,
17.88178,,,,
17.855106,,,,
17.93973,,,,
18.037895,,,,
18.676075,,,,
19.127789,,,,
19.296354,,,,
19.299501,,,,
19.025682,,,,
18.941969,,,,
19.115992,,,,
19.452227,,,,
19.694359,,,,
20.063646,,,,
20.554148,,,,
20.76254,,,,
21.067411,,,,
21.076742,,,,
21.290789,,,,
21.64228,,,,
21.698536,,,,
21.483995,,,,
21.340567,,,,
21.193338,,,,
20.940424,,,,
21.024923,,,,
21.15177,,,,
21.172468,,,,
21.01412,,,,
20.858992,,,,
21.077961,,,,
21.30957,,,,
21.293547,,,,
22.152262,,,,
22.747595,,,,
22.852804,,,,
23.068892,,,,
23.331001,,,,
23.369719,,,,
24.169548,,,,
24.094582,,,,
23.883406,,,,
24.958776,,,,
25.773245,,,,
25.403738,,,,
25.8271,,,,
25.070976,,,,
24.595322,,,,
24.832655,,,,
24.697676,,,,
25.491362,,,,
26.198723,,,,
26.512682,,,,
26.205996,,,,
26.173534,,,,
25.708216,,,,
25.361881,,,,
24.750675,,,,
24.477882,,,,
24.374266,,,,
24.724253,,,,
24.931038,,,,
24.392988,,,,
24.397358,,,,
24.959599,,,,
24.92953,,,,
24.696232,,,,
25.425137,,,,
25.778881,,,,
25.742268,,,,
26.307482,,,,
27.234417,,,,
27.55351,,,,
27.028708,,,,
27.477049,,,,
28.722181,,,,
29.394096,,,,
29.425144,,,,
29.914577,,,,
