日期,累计确诊,新增确诊,累计治愈,累计死亡,国家
2020/2/14,3,0,0,0,意大利
2020/2/14,0,0,0,0,伊朗
2020/2/14,2,0,0,0,西班牙
2020/2/14,16,0,1,0,德国
2020/2/14,15,1,3,0,美国
2020/2/14,28,0,9,0,韩国
2020/2/14,66492,2641,8096,1523,中国
2020/2/14,3,0,0,0,印度
2020/2/14,2,0,0,0,俄罗斯
2020/2/14,35,1,1,1,日本
2020/2/15,3,0,0,0,意大利
2020/2/15,0,0,0,0,伊朗
2020/2/15,2,0,0,0,西班牙
2020/2/15,16,0,1,0,德国
2020/2/15,15,0,3,0,美国
2020/2/15,28,0,9,0,韩国
2020/2/15,68500,2009,9419,1665,中国
2020/2/15,3,0,0,0,印度
2020/2/15,2,0,0,0,俄罗斯
2020/2/15,49,14,1,1,日本
2020/2/16,3,0,0,0,意大利
2020/2/16,0,0,0,0,伊朗
2020/2/16,2,0,0,0,西班牙
2020/2/16,16,0,1,0,德国
2020/2/16,15,0,3,0,美国
2020/2/16,29,1,9,0,韩国
2020/2/16,70548,2048,10851,1770,中国
2020/2/16,3,0,0,0,印度
2020/2/16,2,0,0,0,俄罗斯
2020/2/16,56,0,1,1,日本
2020/2/17,3,0,0,0,意大利
2020/2/17,0,0,0,0,伊朗
2020/2/17,2,0,0,0,西班牙
2020/2/17,16,0,1,0,德国
2020/2/17,15,0,3,0,美国
2020/2/17,30,1,10,0,韩国
2020/2/17,72436,1886,12552,1868,中国
2020/2/17,3,0,0,0,印度
2020/2/17,2,0,0,0,俄罗斯
2020/2/17,65,0,1,1,日本
2020/2/18,3,0,0,0,意大利
2020/2/18,0,0,0,0,伊朗
2020/2/18,2,0,0,0,西班牙
2020/2/18,16,0,7,0,德国
2020/2/18,15,0,3,0,美国
2020/2/18,31,1,10,0,韩国
2020/2/18,74185,1749,14376,2004,中国
2020/2/18,3,0,3,0,印度
2020/2/18,2,0,2,0,俄罗斯
2020/2/18,74,9,1,1,日本
2020/2/19,3,0,0,0,意大利
2020/2/19,0,0,0,0,伊朗
2020/2/19,2,0,0,0,西班牙
2020/2/19,16,0,7,0,德国
2020/2/19,15,0,3,0,美国
2020/2/19,51,20,12,0,韩国
2020/2/19,75002,820,16157,2118,中国
2020/2/19,3,0,3,0,印度
2020/2/19,2,0,2,0,俄罗斯
2020/2/19,84,0,1,1,日本
2020/2/20,3,0,0,0,意大利
2020/2/20,2,0,0,0,西班牙
2020/2/20,16,0,7,0,德国
2020/2/20,15,0,3,0,美国
2020/2/20,5,5,0,2,伊朗
2020/2/20,104,53,12,1,韩国
2020/2/20,75891,889,18226,2236,中国
2020/2/20,3,0,3,0,印度
2020/2/20,2,0,2,0,俄罗斯
2020/2/20,93,9,1,3,日本
2020/2/21,6,3,0,0,意大利
2020/2/21,2,0,0,0,西班牙
2020/2/21,16,0,7,0,德国
2020/2/21,15,0,3,0,美国
2020/2/21,18,13,0,4,伊朗
2020/2/21,208,104,12,2,韩国
2020/2/21,76288,397,20659,2345,中国
2020/2/21,3,0,3,0,印度
2020/2/21,2,0,2,0,俄罗斯
2020/2/21,103,10,1,1,日本
2020/2/22,2,0,0,0,西班牙
2020/2/22,16,0,7,0,德国
2020/2/22,34,19,3,0,美国
2020/2/22,20,14,0,2,意大利
2020/2/22,28,10,0,4,伊朗
2020/2/22,433,225,12,3,韩国
2020/2/22,76936,648,22888,2442,中国
2020/2/22,3,0,3,0,印度
2020/2/22,2,0,2,0,俄罗斯
2020/2/22,122,14,1,1,日本
2020/2/23,2,0,0,0,西班牙
2020/2/23,16,0,7,0,德国
2020/2/23,34,0,3,0,美国
2020/2/23,132,112,1,2,意大利
2020/2/23,43,15,0,8,伊朗
2020/2/23,602,169,12,6,韩国
2020/2/23,77150,409,24734,2592,中国
