681.1184,,,,,
680.8317,,,,,
680.3722,,,,,
681.37866,,,,,
684.0919,,,,,
686.15106,,,,,
685.319,,,,,
679.8155,,,,,
670.09186,,,,,
658.1129,,,,,
645.94086,,,,,
636.0426,,,,,
629.71783,,,,,
625.0059,,,,,
619.7793,,,,,
613.59235,,,,,
606.4937,,,,,
599.6069,,,,,
594.8271,,,,,
593.64105,,,,,
596.3956,,,,,
602.03345,,,,,
609.13184,,,,,
614.3065,,,,,
615.73346,,,,,
613.0183,,,,,
606.3281,,,,,
595.56506,,,,,
582.11145,,,,,
566.2392,,,,,
548.6971,,,,,
531.77386,,,,,
517.75037,,,,,
508.89197,,,,,
506.38962,,,,,
510.0877,,,,,
518.90027,,,,,
529.69354,,,,,
540.39343,,,,,
550.243,,,,,
558.244,,,,,
564.11694,,,,,
568.11554,,,,,
570.2528,,,,,
570.7518,,,,,
571.2401,,,,,
572.65045,,,,,
575.1782,,,,,
578.0333,,,,,
579.59283,,,,,
579.08154,,,,,
577.0653,,,,,
574.541,,,,,
572.36176,,,,,
571.2081,,,,,
571.5751,,,,,
573.05884,,,,,
574.56116,,,,,
574.7161,,,,,
572.84064,,,,,
569.98627,,,,,
567.7302,,,,,
567.8722,,,,,
570.7722,,,,,
576.45575,,,,,
584.19073,,,,,
592.16425,,,,,
599.1365,,,,,
603.9769,,,,,
606.0754,,,,,
606.18304,,,,,
605.1165,,,,,
603.6625,,,,,
602.48914,,,,,
602.4074,,,,,
604.0658,,,,,
607.71735,,,,,
613.0225,,,,,
619.6997,,,,,
626.6122,,,,,
632.6022,,,,,
636.57086,,,,,
637.72205,,,,,
636.694,,,,,
633.85455,,,,,
630.0329,,,,,
628.8153,,,,,
632.1909,,,,,
640.5069,,,,,
651.3469,,,,,
662.3478,,,,,
670.6996,,,,,
675.9103,,,,,
679.6451,,,,,
683.91754,,,,,
690.11,,,,,
697.8632,,,,,
705.5687,,,,,
711.6882,,,,,
714.2497,,,,,
712.9077,,,,,
709.2384,,,,,
705.3181,,,,,
702.26166,,,,,
701.0644,,,,,
701.9882,,,,,
704.9734,,,,,
709.2239,,,,,
714.2119,,,,,
719.3093,,,,,
724.1992,,,,,
728.5203,,,,,
732.1301,,,,,
734.71313,,,,,
735.927,,,,,
735.7588,,,,,
734.07983,,,,,
731.1302,,,,,
728.1281,,,,,
725.52313,,,,,
723.8449,,,,,
723.0545,,,,,
723.0431,,,,,
723.6652,,,,,
724.6323,,,,,
724.3516,,,,,
721.997,,,,,
718.35,,,,,
715.5165,,,,,
714.92883,,,,,
716.7606,,,,,
720.56024,,,,,
725.50885,,,,,
731.377,,,,,
737.64594,,,,,
744.08026,,,,,
750.5613,,,,,
755.96967,,,,,
759.51624,,,,,
760.87134,,,,,
759.644,,,,,
756.0597,,,,,
751.7583,,,,,
748.482,,,,,
747.16064,,,,,
747.73706,,,,,
749.3632,,,,,
750.89197,,,,,
752.1354,,,,,
754.35376,,,,,
757.82324,,,,,
762.2413,,,,,
766.44214,,,,,
769.2419,,,,,
770.84595,,,,,
771.892,,,,,
772.85254,,,,,
774.0267,,,,,
775.415,,,,,
776.7348,,,,,
777.9404,,,,,
778.8075,,,,,
778.9543,,,,,
778.29395,,,,,
776.9421,,,,,
774.97595,,,,,
773.0598,,,,,
771.7551,,,,,
770.86676,,,,,
770.39014,,,,,
770.8622,,,,,
772.5876,,,,,
775.02606,,,,,
777.70404,,,,,
780.37524,,,,,
782.7758,,,,,
785.63043,,,,,
788.8347,,,,,
791.5782,,,,,
791.84906,,,,,
789.6517,,,,,
785.6392,,,,,
780.88934,,,,,
777.1843,,,,,
776.00555,,,,,
777.3529,,,,,
780.7898,,,,,
786.0666,,,,,
792.93286,,,,,
800.37054,,,,,
807.0849,,,,,
813.11444,,,,,
819.11224,,,,,
825.3562,,,,,
831.6081,,,,,
837.5105,,,,,
842.30536,,,,,
845.8253,,,,,
848.2664,,,,,
849.6869,,,,,
850.07886,,,,,
849.1826,,,,,
846.8832,,,,,
844.0816,,,,,
840.86383,,,,,
837.5422,,,,,
834.5201,,,,,
831.8009,,,,,
829.1948,,,,,
827.8056,,,,,
829.2499,,,,,
833.30084,,,,,
838.5541,,,,,
840.2154,,,,,
836.01935,,,,,
828.06354,,,,,
818.551,,,,,
808.36346,,,,,
798.3805,,,,,
790.22107,,,,,
785.8419,,,,,
784.5037,,,,,
785.6954,,,,,
785.94086,,,,,
783.7482,,,,,
778.4936,,,,,
771.57623,,,,,
765.39954,,,,,
762.27313,,,,,
763.1869,,,,,
768.82446,,,,,
777.67566,,,,,
787.5289,,,,,
795.6191,,,,,
799.6898,,,,,
798.8958,,,,,
793.5359,,,,,
784.6969,,,,,
774.4318,,,,,
766.03076,,,,,
761.5902,,,,,
761.8689,,,,,
765.9021,,,,,
771.6179,,,,,
776.9733,,,,,
781.52936,,,,,
784.4927,,,,,
785.4388,,,,,
784.1942,,,,,
781.8439,,,,,
779.6185,,,,,
778.145,,,,,
777.33044,,,,,
776.8383,,,,,
777.22766,,,,,
778.5133,,,,,
779.9563,,,,,
780.3939,,,,,
779.39374,,,,,
777.45355,,,,,
776.60834,,,,,
778.9859,,,,,
784.7421,,,,,
792.2596,,,,,
799.92786,,,,,
807.302,,,,,
814.01276,,,,,
819.1305,,,,,
822.08887,,,,,
823.2665,,,,,
822.7592,,,,,
821.9455,,,,,
822.12103,,,,,
824.34143,,,,,
828.73944,,,,,
834.0449,,,,,
838.21185,,,,,
840.4635,,,,,
841.44366,,,,,
839.97504,,,,,
836.0293,,,,,
830.6237,,,,,
825.3903,,,,,
822.1864,,,,,
821.94324,,,,,
824.8818,,,,,
830.48016,,,,,
837.19147,,,,,
843.8896,,,,,
849.6411,,,,,
854.2727,,,,,
858.2804,,,,,
861.88336,,,,,
864.04785,,,,,
864.03485,,,,,
862.6371,,,,,
861.0305,,,,,
860.0256,,,,,
859.50476,,,,,
859.06726,,,,,
858.5356,,,,,
858.1332,,,,,
858.281,,,,,
859.52655,,,,,
861.4914,,,,,
863.6605,,,,,
865.6269,,,,,
867.1916,,,,,
868.15204,,,,,
868.3392,,,,,
868.3378,,,,,
867.3507,,,,,
865.56775,,,,,
863.8105,,,,,
861.7983,,,,,
860.33484,,,,,
860.5067,,,,,
863.6307,,,,,
869.66223,,,,,
878.00806,,,,,
887.37634,,,,,
897.4527,,,,,
907.51654,,,,,
915.28986,,,,,
919.3042,,,,,
920.0676,,,,,
918.53516,,,,,
915.0325,,,,,
910.0571,,,,,
905.5865,,,,,
903.59796,,,,,
904.11005,,,,,
906.4604,,,,,
910.1202,,,,,
914.222,,,,,
918.1598,,,,,
921.75256,,,,,
927.35443,,,,,
934.0546,,,,,
941.46814,,,,,
948.6759,,,,,
954.5068,,,,,
957.88226,,,,,
958.64233,,,,,
