106.18096,,,,,,
106.92419,,,,,,
107.35699,,,,,,
107.44241,,,,,,
107.25284,,,,,,
106.96683,,,,,,
106.58095,,,,,,
106.501175,,,,,,
106.67379,,,,,,
106.69929,,,,,,
106.734634,,,,,,
106.50106,,,,,,
106.340515,,,,,,
106.241104,,,,,,
106.02666,,,,,,
105.44256,,,,,,
105.0722,,,,,,
105.155,,,,,,
105.860306,,,,,,
106.66854,,,,,,
107.01297,,,,,,
106.896835,,,,,,
106.66318,,,,,,
106.35002,,,,,,
106.05946,,,,,,
106.0705,,,,,,
106.45287,,,,,,
106.85327,,,,,,
106.463234,,,,,,
105.52411,,,,,,
104.30743,,,,,,
103.099075,,,,,,
102.08213,,,,,,
101.12229,,,,,,
100.41525,,,,,,
100.27905,,,,,,
100.00834,,,,,,
99.13575,,,,,,
98.20297,,,,,,
97.16224,,,,,,
96.36265,,,,,,
96.16326,,,,,,
96.788246,,,,,,
97.785675,,,,,,
98.6528,,,,,,
100.423355,,,,,,
103.27681,,,,,,
106.809944,,,,,,
110.37546,,,,,,
113.16936,,,,,,
114.15279,,,,,,
113.24111,,,,,,
110.07041,,,,,,
105.55582,,,,,,
101.80986,,,,,,
99.609825,,,,,,
99.44605,,,,,,
100.803444,,,,,,
102.41389,,,,,,
104.043144,,,,,,
104.996796,,,,,,
105.56083,,,,,,
106.16324,,,,,,
106.42374,,,,,,
106.66319,,,,,,
107.24001,,,,,,
107.85932,,,,,,
108.28521,,,,,,
108.744354,,,,,,
109.34229,,,,,,
109.911095,,,,,,
109.98457,,,,,,
109.099884,,,,,,
107.95367,,,,,,
107.31659,,,,,,
107.42859,,,,,,
108.14251,,,,,,
109.0106,,,,,,
109.8974,,,,,,
110.907486,,,,,,
111.77145,,,,,,
112.30345,,,,,,
112.44977,,,,,,
112.441826,,,,,,
112.45068,,,,,,
112.70971,,,,,,
113.23363,,,,,,
114.30978,,,,,,
115.272964,,,,,,
115.57702,,,,,,
115.37093,,,,,,
114.676315,,,,,,
113.88473,,,,,,
113.54045,,,,,,
113.77792,,,,,,
113.737976,,,,,,
113.024925,,,,,,
112.44517,,,,,,
112.11319,,,,,,
111.9952,,,,,,
111.83924,,,,,,
111.82027,,,,,,
112.188805,,,,,,
112.81979,,,,,,
113.20096,,,,,,
112.9712,,,,,,
112.42861,,,,,,
111.5184,,,,,,
112.38478,,,,,,
114.54521,,,,,,
116.85667,,,,,,
118.38209,,,,,,
118.768074,,,,,,
118.62958,,,,,,
118.28189,,,,,,
118.36583,,,,,,
118.90124,,,,,,
119.70775,,,,,,
120.381355,,,,,,
120.81561,,,,,,
120.85189,,,,,,
120.52427,,,,,,
119.72632,,,,,,
118.83958,,,,,,
118.2049,,,,,,
118.02294,,,,,,
117.986336,,,,,,
118.27175,,,,,,
118.80337,,,,,,
119.580826,,,,,,
120.33397,,,,,,
120.651695,,,,,,
120.57363,,,,,,
120.37488,,,,,,
120.16313,,,,,,
120.1119,,,,,,
119.94223,,,,,,
119.70315,,,,,,
119.40486,,,,,,
118.68383,,,,,,
117.5833,,,,,,
116.72408,,,,,,
116.13379,,,,,,
115.87008,,,,,,
115.756485,,,,,,
115.74589,,,,,,
115.88349,,,,,,
116.0484,,,,,,
115.57697,,,,,,
114.68839,,,,,,
113.67559,,,,,,
113.28905,,,,,,
113.80781,,,,,,
114.725296,,,,,,
115.4495,,,,,,
115.654,,,,,,
115.99947,,,,,,
116.576965,,,,,,
117.375595,,,,,,
118.29581,,,,,,
119.02354,,,,,,
119.23419,,,,,,
119.065414,,,,,,
118.70664,,,,,,
118.66443,,,,,,
119.39619,,,,,,
120.688255,,,,,,
121.55409,,,,,,
121.98948,,,,,,
122.288895,,,,,,
122.63465,,,,,,
123.98692,,,,,,
125.35318,,,,,,
125.88985,,,,,,
125.71838,,,,,,
125.10678,,,,,,
124.43889,,,,,,
124.39707,,,,,,
124.98293,,,,,,
125.784,,,,,,
126.36247,,,,,,
126.62721,,,,,,
126.574394,,,,,,
126.41421,,,,,,
126.01999,,,,,,
125.56816,,,,,,
125.32057,,,,,,
125.23773,,,,,,
125.18921,,,,,,
125.372536,,,,,,
125.71491,,,,,,
125.76921,,,,,,
125.70311,,,,,,
125.72461,,,,,,
126.295364,,,,,,
